CMAUID,CMAPUID,DGUID,DGUIDP,CMANAME,CMATYPE,PRUID
001,10001,2021S0503001,NA,St. John's,B,10
010,10010,2021S0504010,NA,Grand Falls-Windsor,D,10
011,10011,2021S0504011,NA,Gander,D,10
015,10015,2021S0504015,NA,Corner Brook,D,10
105,11105,2021S0504105,NA,Charlottetown,D,11
110,11110,2021S0504110,NA,Summerside,D,11
205,12205,2021S0503205,NA,Halifax,B,12
210,12210,2021S0504210,NA,Kentville,D,12
215,12215,2021S0504215,NA,Truro,D,12
220,12220,2021S0504220,NA,New Glasgow,D,12
225,12225,2021S0504225,NA,Cape Breton,D,12
605,46605,2021S0504605,NA,Steinbach,D,46
456,24456,2021S0504456,NA,Joliette,D,24
462,24462,2021S0503462,NA,Montréal,B,24
465,24465,2021S0504465,NA,Salaberry-de-Valleyfield,D,24
467,24467,2021S0504467,NA,Sainte-Agathe-des-Monts,D,24
485,24485,2021S0504485,NA,Rouyn-Noranda,D,24
502,24502,2021S0504502,2021S050624502,Hawkesbury (partie du Québec / Quebec part),D,24
505,24505,2021S0503505,2021S050524505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24
501,35501,2021S0504501,NA,Cornwall,D,35
502,35502,2021S0504502,2021S050635502,Hawkesbury (Ontario part / partie de l'Ontario),D,35
305,13305,2021S0503305,NA,Moncton,B,13
310,13310,2021S0503310,NA,Saint John,B,13
320,13320,2021S0503320,NA,Fredericton,B,13
328,13328,2021S0504328,NA,Bathurst,D,13
404,24404,2021S0504404,NA,Rimouski,D,24
405,24405,2021S0504405,NA,Rivière-du-Loup,D,24
406,24406,2021S0504406,NA,Baie-Comeau,D,24
408,24408,2021S0503408,NA,Saguenay,B,24
410,24410,2021S0504410,NA,Alma,D,24
329,13329,2021S0504329,NA,Miramichi,D,13
330,13330,2021S0504330,2021S050613330,Campbellton (New Brunswick part / partie du Nouveau-Brunswick),D,13
335,13335,2021S0504335,NA,Edmundston,D,13
330,24330,2021S0504330,2021S050624330,Campbellton (partie du Québec / Quebec part),D,24
403,24403,2021S0504403,NA,Matane,D,24
468,24468,2021S0504468,NA,Lachute,D,24
480,24480,2021S0504480,NA,Val-d'Or,D,24
481,24481,2021S0504481,NA,Amos,D,24
411,24411,2021S0504411,NA,Dolbeau-Mistassini,D,24
412,24412,2021S0504412,NA,Sept-Îles,D,24
421,24421,2021S0503421,NA,Québec,B,24
423,24423,2021S0504423,NA,Sainte-Marie,D,24
428,24428,2021S0504428,NA,Saint-Georges,D,24
430,24430,2021S0504430,NA,Thetford Mines,D,24
433,24433,2021S0503433,NA,Sherbrooke,B,24
